tweet,intent,gold_reply,escalate,reason
add back the MB size of updates in the App Store. It s a bit crazy that you took this option off. I don t know if I m updating a 500MB app or 20MB. Bandwidth costs money! Need to know the size since it makes a difference if we download on LTE or wait for Wifi.,app_store,"Thanks for reaching out. To view the size of an app update, please open the App Store app and go to ""Updates"". Once there, tap on the name of the app and go to ""Information"". Here you can see the size of the update. Let us know if this helps.",AUTO,High confidence app store (0.90) with standard resolution path
"- since the last update I can only use 1 of my chargers, 3 of which are genuine. Charging is very slow what is going on? Please sort this NOW. I wish I had not updated",charging_issue,Hi. We understand it's important to be able to charge your device. Let us help. Could you tell us which device you're having this issue with? Let us know and we'll go from there.,AUTO,High confidence charging issue (0.90) with standard resolution path
So I have my auto app updates on...why is it that it always tells me I have 6/7/8 updates when I go to the App Store? Does it not work?,app_store,Let's help. Are you connected to Wi-Fi or Cellular data when noticing the updates not downloading automatically?,AUTO,High confidence app store (0.90) with standard resolution path
please fix iOS 11 already. I have an 8 Plus and the performance is just ridiculous,software_update,We want to help. What specifically is going on with your 8 Plus?,AUTO,High confidence software update (0.90) with standard resolution path
why does AppleCare coverage begin when you ship an iPhone instead of when I receive & activate it? Only a few days difference,device_setup,Let s get you partnered with our Advisors who specialize in AppleCare coverage. Contact them here:,AUTO,High confidence device setup (0.90) with standard resolution path
I ve turned off every battery sucking thing off on my phone and can still get barely half a day out of my phone. #iso11 #sickofit,battery_issue,We'd like to help out. Any updates to apps in the App Store? Send us a DM and tells us more about the issue.,AUTO,High confidence battery issue (0.90) with standard resolution path
Any pic or video i try to post to my stories on make the app crash or gets messed up! Help! #iphoneX,app_store,We'd be happy to look into this with you! Send us a DM and we'll get started from there.,AUTO,High confidence app store (0.90) with standard resolution path
"don t you think this is kinda ov batmeezi, you guys have verified twitter account but not a single tweet yet. Well that s your headache so leave this but please tell me why the hell I am unable to upload pics by using iCloud from My notebook to IPhone??? #SolveThisProblem",icloud_sync,"Reach out to us via DM and let us know the type of notebook and the type of iPhone that you have, then we can help from there.",AUTO,High confidence icloud sync (0.90) with standard resolution path
"No. I'll try to login to my Apple ID, says ""signing into iCloud"", & then takes me straight back to the login page again. Therefore, I'm unable to sign into the app store, Apple music, etc. I've tried restarting my phone multiple times too with no luck.",apple_id_login,We'd like to continue looking into this. Let's meet in DM.,AUTO,High confidence apple id login (0.90) with standard resolution path
"i download 2 app , but after i paid, it never can use. My id: __email__ please ask them to refund money to me. Iphone 7 plus user",billing_refund,We'd like to get you to the team that best supports billing. Please reach our iTunes Store here:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
WHATS WRONG WITH MY ICLOUD? I JUST GOT THIS PHONE 3 WEEKS AGO AND ITS UPDATED TO THE LATEST IOS. IM TIRED OF THIS SILLY ASS SHIT.,icloud_sync,Let's work together. Can you tell us more about what's going on with iCloud? Can you sign in with your iCloud account? Please send us a DM with more info.,AUTO,High confidence icloud sync (0.90) with standard resolution path
App store freezing problem in ios 11 in iphone 8 plus,app_store,"We want to help. So that we may continue, please use the link below to start a DM conversation with us.",AUTO,High confidence app store (0.90) with standard resolution path
When you preorder the new iPhone x get it on launch day and the device won t even turn on or respond to anything?,device_setup,We d like to understand more about this situation. Please DM us some details and we ll take it from there.,AUTO,High confidence device setup (0.90) with standard resolution path
PSA: there s a new scam being emailed to people by Apple it is NOT real. It says someone is using your account and spending $$. It s a hack for them to get your credit card info AND social security #.,account_security,"Nice catch! These emails look like something we'd send out, but we definitely didn't. More info and where to forward these types of emails is here:",ESCALATE,High-risk intent 'account_security' requires specialist intervention
how to remover credit card details from my Apple-ID? Auto renew without conformation on subscriptions no appreciation!,billing_refund,We can help. This article has the instructions that you're looking for:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
Why does my apple iCloud account not log in? I ve literally done everything I could think of? Requested recovery but nothing?,apple_id_login,We know how much we rely on our iCloud to back up data. What device and what happens exactly when trying to log in? DM us:,AUTO,High confidence apple id login (0.90) with standard resolution path
"Not what was wrong. I reset phone, holding power and volume, more than 3 times. Then my phone went from 100% battery to 10% & dying in 3hrs. I didn t plug charger letting it drain. Plugged in charger, it started charging and now it s not locking me out",charging_issue,Understood. Please let us know if you need any further assistance.,AUTO,High confidence charging issue (0.90) with standard resolution path
"nice iOS keyboard update, but I still can t access the diacritic over the r in Dvo k , and there s still no either.",software_update,Thanks for reaching out. May we ask which language keyboard you currently have?,AUTO,High confidence software update (0.90) with standard resolution path
My phone basically just died and did a reset. I got logged out of everything including my iCloud wtf,icloud_sync,You're in the right place for help. Select the following link to join us in a DM and we'll take a closer look into this issue.,AUTO,High confidence icloud sync (0.90) with standard resolution path
- reporting a facebook bug witl ios 11! The application close by it self!,software_update,Thank you for reaching out to us! Are you seeing this issue with any other apps at all or just the Facebook app?,AUTO,High confidence software update (0.90) with standard resolution path
"Trying to set up 2FA on laptop and keep getting this error, what gives ?",apple_id_login,We are here to help. Have you requested more than one code?,AUTO,High confidence apple id login (0.90) with standard resolution path
In the span of 45 seconds; I went from 27 to 18% battery life (in Low Power Mode) on the 2nd day since I left iOS 10.3.3,battery_issue,Let's move over to a DM and discuss the battery issues further. We understand how vital the battery is.,AUTO,High confidence battery issue (0.90) with standard resolution path
"pour r sumer IOS11 c est de la merde. Les ic nes sont moches, a bouffe la batterie, et AppStore c est une usine gaz ...",app_store,We offer support via Twitter in English. Contact us for help in your preferred language here:,AUTO,High confidence app store (0.90) with standard resolution path
do or any math majors or anybody wanna help me understand and explain what the fuck going on with my storage? is everything a scam? can we not get played for once? do a nigga need to get a galaxy? like what the fuck going on!,account_security,We'd be happy to look into your storage space with you. Send us a DM to get started.,ESCALATE,High-risk intent 'account_security' requires specialist intervention
hey when will i be able to change my location without putting in payment information bc i m broke af,billing_refund,We'll be happy to get you pointed in the right direction. Check out:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
My iPhone runs out of battery so fast it s ridiculous you better fix this,battery_issue,Let's examine this battery issue. How long does a full charge usually last? Let us know in DM.,AUTO,High confidence battery issue (0.90) with standard resolution path
does having 3D Touch activates drain your battery?,battery_issue,"Hey there. Great question! 3D Touch should not drain your battery when enabled. If you're looking for tips to help with battery usage, we have a great resource here:",AUTO,High confidence battery issue (0.90) with standard resolution path
#iCloud is eating up my CPU! (All updates installed),icloud_sync,We're here to help. Send us a DM with more details about what you are experiencing.,AUTO,High confidence icloud sync (0.90) with standard resolution path
"this new update sucks, my phone glitches at every app and it turns black and wont let me do anything",software_update,"Hey, let's see what's going on. Can you clarify what you mean when you say that it glitches? Also, what's the exact iOS version?",AUTO,High confidence software update (0.90) with standard resolution path
"hey I am getting issues with iOS 11.0.1 can t share pdf, battery is getting drained very fast",battery_issue,We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in?,AUTO,High confidence battery issue (0.90) with standard resolution path
"Day 6 in the iTunes Lockout. I cannot get help or explanation. Cannot download apps, update them or play music on my iPhone. I bet some angry employee locked a thousand accounts and now won't pick up at 1-866-9703764 #BadApple",account_security,That is not the experience we want you to have. We'd be happy to look into this with you. Can you DM us what you are experiencing with your iTunes account? What do you currently see on the screen? Are you signed in to the account? We'll continue this in DM.,ESCALATE,High-risk intent 'account_security' requires specialist intervention
Thanks for clarification. Would be helpful if had an Apple Logo on it so I knew it was you helping me vs phishing to get me to click link,account_security,That's a great idea. Feel free to provide your feedback at the following link:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
hi i m trying to to sign in with my apple id but it s saying that it can t connect to the server help me out,apple_id_login,"We've checked out server status here, and everything looks good on our end. Send us a DM.",AUTO,High confidence apple id login (0.90) with standard resolution path
Can i sync two iphones on itunes on my laptop?,icloud_sync,We're glad you reached out. You can sync more than one iPhone to iTunes. This article can help:,AUTO,High confidence icloud sync (0.90) with standard resolution path
so is out here charging 1g for a phone but won t let me type I without messing up,charging_issue,Here s what you can do to work around the issue until it s fixed in a future software update:,AUTO,High confidence charging issue (0.90) with standard resolution path
Is this a Scam? I dont own Apple products,account_security,We're here to help. That doesn't look like official Apple correspondence. Learn more here:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
I love that since I updated to the new iOS that my battery lasts an like an hour. Especially after replacing the battery weeks ago,battery_issue,We'd be happy to look into this with you. Could you please send us a DM so we can gather some info?,AUTO,High confidence battery issue (0.90) with standard resolution path
I signed up for more iCloud storage (50GB) and it seems I've been charged 5 times. Please advise.,icloud_sync,We want to work on this with you. Here's a link to DM us.,AUTO,High confidence icloud sync (0.90) with standard resolution path
"Here is example with laptop charger, you can fee a slight shock on the Touch ID and the screen becomes hard to use. This is only on train.",charging_issue,"Please send us a DM and tell us which country you're in, and we'll find a way to help.",AUTO,High confidence charging issue (0.90) with standard resolution path
"i pay all of 79p a month for icloud but it won t properly back up pics & it renders gifs useless when i save them, do something",icloud_sync,We're happy to help. Do you have iCloud Photo Library enabled? Can you tell us more about what happens when you back up the photos?,AUTO,High confidence icloud sync (0.90) with standard resolution path
"So I buy an iPhone 7, which is extremely fast, I then download the latest update, and my phone lags every time I use an app? 128gb phone with over 60gb storage remaining? Seriously poor.",software_update,"We'd like to look into this with you. Can you let us know the exact iOS version you have installed on your iPhone? Does this occur when you're using specific apps or features, or does it happen with all apps? Let us know in DM:",AUTO,High confidence software update (0.90) with standard resolution path
Completely locked out. I can remember my username and password. I can't remember the answers I gave to these security questions. Locked out and sent back to start with only 'forgot password' option. Total road block. Total loss of user control over my ID.,apple_id_login,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,AUTO,High confidence apple id login (0.90) with standard resolution path
Just says An error occurred during activation. Try again Apple ID and Password are correct as i have been trying this all day.,apple_id_login,Thank you for those details. Let's try the steps in this article to see if they fix the problem:,AUTO,High confidence apple id login (0.90) with standard resolution path
why do I have to get a subscription on Apple Music to listen to music I bought? Smh,billing_refund,We'd like to look into this with you. How long have you been experiencing this? Does restarting resolve the issue?,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
I am getting more and more frustrated with my products! #appletv doesn t sign in #photo is not user friendly #iphone is temperamental! I could continue but I don t have all day!,apple_id_login,We appreciate you bringing this to our attention. We d like to get you in touch with an expert from our Apple TV team to assist further. Use this link to get connected with them:,AUTO,High confidence apple id login (0.90) with standard resolution path
"where is the ""show as busy"" setting in MacOS Sierra's calendar?",software_update,"Great question. When you create a new event, you sill see the option when clicking on the date or time.",AUTO,High confidence software update (0.90) with standard resolution path
"Nothing is syncing, tried a restore & it s still extremely hot.",icloud_sync,Let's move to DM and gather some device specific information to continue looking into this with you.,AUTO,High confidence icloud sync (0.90) with standard resolution path
"Since my last #macos update I can't login if the laptop is connected to internet is looking like the ""Windows 95"" way of doing things.",apple_id_login,Let's look into this together. Send us a DM including the exact macOS you updated to. We'll continue there.,AUTO,High confidence apple id login (0.90) with standard resolution path
"Why isn t it possible to change the e-mail adress from my AppleID? Was created with gmail, now i want only icloud.",apple_id_login,We know how important your Apple ID is and we'd like to help. Please take a look at this article:,AUTO,High confidence apple id login (0.90) with standard resolution path
"my phone is slower than ever, I have the update 11.0.3 and also the battery does not last one day, solution please",battery_issue,"You ve come to the right place. Join us in DM, we can gather information about your iPhone and when the performance changed.",AUTO,High confidence battery issue (0.90) with standard resolution path
receiving an email scam asking me to verify my details!,account_security,Thanks for bringing this to our attention. Learn what to do with these types of messages here:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
Upgraded my Macbook Pro to High Sierra and cannot login my AD account anymore #Mac #Upgrade #Fail,apple_id_login,Thank you for reaching out to us. We want to help you get this resolved. Please DM us to get started.,AUTO,High confidence apple id login (0.90) with standard resolution path
can t get passed this screen when trying to setup my new phone. Any suggestions? Going through iTunes isn t working either.,device_setup,Congratulations on your new iPhone. We're happy to help. Let's start with the steps here:,AUTO,High confidence device setup (0.90) with standard resolution path
I have the 6s and everything went downhill when I downloaded iOS 11,software_update,We definitely want to help here. Give us more detail about when you see the battery depleting the most.,AUTO,High confidence software update (0.90) with standard resolution path
At least 3 depending on use and yes all official apple cable and adapter,charging_issue,"OK, thank you. We'd like to look into this a bit further with you. Please DM us about your battery and we'll continue there.",AUTO,High confidence charging issue (0.90) with standard resolution path
"It appears in every application, at seemingly random times, and everything in the App Store is up to date.",app_store,Thank you for letting us know when the message is occurring. We'd like to delve into this further. DM us the country you're in.,AUTO,High confidence app store (0.90) with standard resolution path
It s just my luck that each time Ive gotten a new iPhone from the apple store the phone has some subtle faults really needs to make sure their phones are all fault free because it s so tedious and time consuming to having to go back and sort the issue out ...,device_setup,"We'd like to see if we can help with your iPhone. To get started, send us a DM with more information about what's going on. We'll meet you there.",AUTO,High confidence device setup (0.90) with standard resolution path
How do I go back to iOS 10 on my iphone? 11 is terrible! Phone keeps resetting.....,software_update,Thanks for reaching out to us. Going back to iOS 10 is not supported. Send us a DM so we can look into your issues together.,AUTO,High confidence software update (0.90) with standard resolution path
Your Perth (AUS) store has been incorrectly emailing me for months. Sadly it's a no reply email address. I did send it to your phishing email who ignored me. Please get them to use the contact details the customer provided to them. I'm in the UK. Ref: R242850483.,account_security,Hi there. Thanks for reaching out. We can definitely look into this further with you. Send us a DM and let us know which email address you'd like to use.,ESCALATE,High-risk intent 'account_security' requires specialist intervention
it has been 2 hours but nothing happening. I m unable to login. And I ve restored os using command+R >restore Mac(High Sierra),apple_id_login,We re here to help. Would you please tell us which MacBook model you are using?,AUTO,High confidence apple id login (0.90) with standard resolution path
CONSERTA ESSE BLUETOOTH DO 7 AGORA DESGRA A,device_setup,"Since our Twitter support is available in English, get help at or join",AUTO,High confidence device setup (0.90) with standard resolution path
Someone please tell me why when there is no headphones plugged in my phone registers there is and won t play sound.,charging_issue,We'd like to help you get this resolved. Let's start by following the steps outlined here:,AUTO,High confidence charging issue (0.90) with standard resolution path
Why does Bluetooth always on,device_setup,We'd like to help. This article can explain the changes with Wi-Fi and Bluetooth in iOS 11:,AUTO,High confidence device setup (0.90) with standard resolution path
hi 5.99 is getting taken out my account each month and I have no subscriptions,billing_refund,"We understand the concerns with unknown purchases. For help, contact our iTunes Store Support at",ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
why has my payment method been declined when trying to download FREE apps???,billing_refund,We're here to help and would recommend contacting our iTunes Store team directly:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
A white Apple iPhone charger from Apple store don t charge iPhone,charging_issue,Does this same message show up when you're using other charger cables? Our website here has more info:,AUTO,High confidence charging issue (0.90) with standard resolution path
", after downloading 11.1 software to my Iphone SE - battery life is woeful dispite all the tips I find online - any ideas pls?",battery_issue,Send us a DM and we'll take a closer look at this together.,AUTO,High confidence battery issue (0.90) with standard resolution path
"Something on iOS 11.1: Less precise haptic feedback, slower response (a no go for Jobs!), Bluetooth troubles, battery drain",battery_issue,We're here to help. Let's take this to DM so we can better assist you.,AUTO,High confidence battery issue (0.90) with standard resolution path
"Great thanks! So judging by those articles, leaving my phone charging often won t have a detrimental effect? Hopefully it ll even cause me to get through fewer charge cycles?",charging_issue,"That's right. The iPhone's battery is pretty smart, and we're here if any questions come up.",AUTO,High confidence charging issue (0.90) with standard resolution path
I usually never update my phone ... but I did this time... and I m annoyed that I did it. That pixel is looking real good.,software_update,Thanks for reaching out. Try the steps in this article to correct your keyboard predictive text:,AUTO,High confidence software update (0.90) with standard resolution path
Yes... Somebody tried to hack my account,account_security,"When you have a moment, please send us over a DM. We'll gladly look into this together there.",ESCALATE,High-risk intent 'account_security' requires specialist intervention
