tweet,gold_reply,intent
iPhone 6 Plus. Temperature doesn't really rise beyond what's normal. Battery just silently runs out. A friend also complained about same.,"Got it, thanks. Since completing the update, have you attempted any of the steps here:",battery_issue
fix the damn update my battery is dropping from 50% to 20 in a 10 minute span,We can work together to look into the battery life. DM us the device you're experiencing this on and we'll go from there.,battery_issue
So basically you're telling me Bluetooth has to be on at all times by turning it back on at 5am? I know what phone I'm not getting #upgrade,We'd like to gain a better understanding of what you're trying to accomplish. DM us and we'll go from there.,device_setup
What is with this messed up lettering after the iOS 11.1 update,Hi there! This should help you out:,software_update
"... unable to sync music, films etc.......",Are you using a Mac or PC? Which macOS/OS are you using on your computer? Which iOS are you using on your iPhone?,icloud_sync
iCloud sucks and it should not be THIS FUCKING HARD to change my email address. No way should I have to wipe my whole Mac to do this,We'll help in any way we can. Are you trying to change the email address associated with your Apple ID? DM us here:,icloud_sync
"iOS 10.3.3 was much better on my iPhone SE. After upgrading to iOS 11.0.3, it's draining battery as hell. Plz fix it asap.",We're here to help. Please DM us via the following link and we'll assist you further.,battery_issue
This new iPhone update is slowly erasing my contact names,"We want you to be able to view all your contacts, and we'd love to help. How many contacts are you missing? Let us know in DM.",device_setup
First time I encounterest this notification. Should I update? I hope this is not a phishing method.,"Let's look into this together. Please send us a DM, and we'll pick back up there.",account_security
Finder/Documents folder says iCloud storage is full but it clearly isn't.,Let's take a look into this together. Send us a DM with the version of macOS you're on and we'll go from there.,icloud_sync
I Forget My iCloud I d And Password Now I Unable To Open My iPhone5s Plz Help,We'll get you pointed in the right direction. Let us know if this guide helps find your iCloud account:,icloud_sync
what s wrong with iOS 11 and the I issue,Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,software_update
updated to ios11.1 beta 2 and my battery died last night *while plugged in to the charger* huh?,Let's work together on a solution. DM us with the model iPhone you're using to get started.,charging_issue
"How to report Fake Apps on AppStore, plz advice",DM us details on what it is that you're seeing and we'll continue from there.,app_store
100% when left house at 8:30 now 18%..... I m armed with my lead and powerpack! #Apple #Battery #ios11.1.1,Thanks for reaching out to us. We are always happy to help. We'd like to look into this issue with you. Send us a DM so we can talk there.,battery_issue
Your iOS update sucks. It s been draining my battery ever since!The sync indicator just wouldn t stop! need a downgrade,Let's work together to get this sorted. DM us the exact iOS version and we'll start there.,battery_issue
I have the Apple Watch Series 3 on iOS 4.1 and my watch is still stuck on the loading screen. Will there be a fix any time soon?,"Let's try following this article, and send us a DM if that doesn't help:",software_update
Bluetooth connectivity issues after updating iOS,We want to help. Are you updated to iOS 11.1? What are you experiencing with Bluetooth?,device_setup
It seems to work although I don t have time to update right now. Thank you again for the support!,You're most welcome! Please feel free to reach out to us again if you need any more help. We re available every day to answer your questions from 5am-8pm Pacific. Have a great day!,software_update
hi. Keep getting remote hotspot failure between iPad Pro and iPhone 7. Both on iOS 11.0.3,Let's see what's going with the hotspot. Can you tell us more info on what happens when you try to use it?,software_update
for the past few days I ve been getting #phishing emails sent re: Apple account how do I alert #apple that their systems may have be hacked?,"Thanks for reaching out to us on this! These emails you receive are from third parties attempting to get you to give them your account information. Find how to identify, and if necessary report, fraudulent emails here:",account_security
"Hello . Without my permission, apple store updated an application for a fee and it withdrawed money from our credit card. I want my victim removed. I want you to stop my unjust treatment.",Thanks for reaching out. We'd love to assist you and research this further for you today. We understand the concern you are having. Meet up with us in DM at the link below and let us know if you have this app installed on your device.,billing_refund
got double charged for something but when I try to log in to report a problem it just keeps bringing up the login screen,Our iTunes Store team is best suited to assist you. You can reach them directly here:,apple_id_login
"My iPhone 6S battery, goes from 100% - 0 within 2 hours! What am I doing wrong?",Battery life is important. We'd like to help. When did it start draining like this? Which iOS version are you running?,battery_issue
The app is no longer available on the app store and I don t know how to contact the developer.,Do you see the app listed in your purchase history? This will help:,app_store
Thank you for my new iPhone X. Nothing like waiting a month to just have it broke right out of the box.,"We know how exciting it is to receive a device, and we're so sorry to see it's having issues now that you received it. We want to ensure your new device is fully functional. Please send us a DM, so we can gather more information and assist.",device_setup
I haven t had access to my iCloud email account in 2 weeks!! Help!! I already had 2 Apple Chat sessions,Let's get you in contact with our Account Security team here:,icloud_sync
Hey I know you were busy lately but any chance you can fix the iPhone X and Ford Sync Bluetooth connection bug as well? Sync seems to be killing BT on the phone. Constant disconnecting and discovery problems. Latest iOS.,"We know how important it is to stay connected to your vehicle. Let s look into this together. Send us a DM telling us the iOS version running on your iPhone X, and the year and model of Ford vehicle you have. Also, let us know any troubleshooting steps you ve tried.",icloud_sync
". iPhone 6s. Got new battery as part of last year s recall. Today shutdown after 15 minute walk in -4C and trying to take picture. When restarted initially 10%. After warming up, and reboot 51%",We want to help. Let's continue in DM.,battery_issue
"It has happened twice. Both times, after updating to the latest iOS 11 update. Most recently last night updated and tonight no iCloud Music.",Got it. Are 'Show Apple Music' and 'iCloud Music Library' turned on in Settings > Music?,icloud_sync
you really need to something about these new updates ... our phones are freezing apps crashing it s a mess please fix it,"We're here to help! Let us gather some information on the issues you are experiencing, then we can work together to resolve this from there. Which applications on your device are crashing? How often does your device freeze? Which iOS is currently installed?",app_store
It s been 9 months since I have had this iPhone and I managed to wreck the charger once again.. explain yourself..,We'd like to help. Send us a DM and we can start there.,charging_issue
can we please fix the battery issue with #iOS11.,Having a reliable iPhone that stays charged is imperative. What kind of battery issues have you noticed? DM us here:,battery_issue
Uh there might be something wrong with this #macbook #air from 2011.. battery?,"We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",battery_issue
"It was, but I know I didn t cut it on. Did that happen with an update?",It's possible. Did turning off Auto-Brightness resolve the issue for you?,software_update
Loved my AirPods - but after 2 weeks the left one gave up. No sign of life - even after a reset. #fail,Let's work on it together. Here are some more steps to try. Let us know what you find out:,device_setup
"All I want for my birthday is a replacement MacBook Pro charger so I can keep working on music, my last one caught on fire while I was sleeping",We'd like to look into this with you. Could you Direct Message us and let us know what country you're located in?,charging_issue
Hey when are you going to fix the I glitch? Where do I send my invoices for lost wages on un-editable type?,Here s what you can do to work around the issue until it s fixed in a future software update:,billing_refund
"Hi - can you help me understand what prompts these sudden, no-interaction-by-me-with-apps-or-sites password prompts? In 2017 these look increasingly like a phishing attempt. Can someone improve the UI, tell us why this is necessary in context? Thanks!",We'd like to help! Can you tell us the version of iOS that is running on your device?,account_security
I ve just paid for extra storage and I m still getting the iCloud is full message on photos please advise?,We'll do everything we can to help you. Since upgrading have you tried restarting your device?,icloud_sync
"Can't access to my AppleID, I lost all my contacts/media and VERY important info on my 'Note' app. just didn't help at all",Let's look into this for you. Have you reached out to our Account Security team here:,apple_id_login
who do I contact for subscription support?,"For billing issues with subscriptions, you can each out to our iTunes Store team here:",billing_refund
How is my phone dying..... on the charger???,We're here to help. Is the device unexpectedly powering off or is the battery life decreasing while on the charger?,charging_issue
My account need me to enter my credit card number to access it. How do i get through this since I no longer use that card? I have no idea what my old cred card number is.,Hi there. DM us and we can get you headed in the right direction.,billing_refund
I find it interesting that I've purchased the Apple Watch a few years ago to focus on fitness needs that cost me $900. I received my iPhone X on Nov 3 for $1250.79 Your team cannot sync my data over to my expensive phone. #DigitalMarketing #fail #badcustomerservice,We'd like to help. DM us with a bit more detail on what's going on and we'll go from there.,icloud_sync
"TestFlight not loading in ITunesConnect. So damn frustrating, PLEASE apply more resources here, ITC is a nightmare.","To help you get the best support, we suggest that you contact Apple Developer Support here:",app_store
i cant make a new apple id system,We're more than happy to help you with this. Please DM your location and device model. We'll continue from there.,apple_id_login
The recent update has rendered my phone unresponsive and slow,"Hello Alison, you've come to the right place for help with your iPhone. Is this happening with particular apps or everywhere?",software_update
"I bought 2 iPhones X on Friday, but I don t see any charge on my credit card. Do I should worry or it s normal?","Thanks for reaching out to us. Please send us a DM with your country, and we'll look into this.",billing_refund
HOW THE FUCK AM I SUPPOSED TO GET A VERIFICATION CODE WHEN YOU SEND IT TO A PHONE THAT'S NOT EVEN ACTIVATED YET?!,We'd love to assist you. DM us at the link below for further assistance.,apple_id_login
yet another charger cable gone!! #stepupquality #apple #iphone,"We'd like to see if we can help. Send us a DM with the country you're located in, and we'll get started.",charging_issue
I'm pretty sure I'm receiving spam mail from Apple ID re purchasing ! Any ideas ?!,"We're glad you asked. This article will help you identify, avoid, and report phishing attempts:",apple_id_login
iPhone 7 battery issues after giving to the service station still the same condition not satisfied. Pls reply.,We'd like to look into this with you. Meet us in DM so we can gather more information.,battery_issue
this new 11.0.3 is s**t I has completely ruined my phone it doesn t stop crashing and freezing battery is crap now too!!,"We're here for you. Send us a DM with your country/location, and we'll go from there:",battery_issue
I tried the Apple ID password and it did not work. Are there any characters that we should not use?,"To clarify, are we still looking into an iCloud Backup? This would be the Apple ID Password. DM us and let us know if that is the one you are trying to reset. We can look into it more from there.",apple_id_login
how do I get iMessages to work on my MacBook Pro again? It won't let me login,"We're glad to help get your iMessages working on your Mac again. Meet us in DM with some details, such as the exact version of macOS you're using, what happened when your iMessages stopped working, and which country you're in, and we'll take it from there.",apple_id_login
is this a legitimate email or a scam?,We'd like to help. This email does not appear to be legitimate. You can find more info about this here:,account_security
"My MBP keyboard has bad keys again 5 days after repair. I've loved every Mac I've ever had but I'm done with this one. I want a promise that you're working on a hardware fix to this known issue, or my money back.",This is definitely not what we expect after a hardware repair. We'd like to investigate things further. Please meet us in DM.,billing_refund
I am using an iPhone SE. It also won t let me sync my Fitbit to my phone. A message comes up saying my Bluetooth is not turned on even though it is.,"When you connect your Fitbit, are you able to see that it's connected when you go to Settings > Bluetooth?",icloud_sync
where is all my music that was in my library? and why do i have to renew my subscription?,"We're here to help! To get us started, may we get the device we're working with and the OS version?",billing_refund
I accidentally bought something is there anyway I can get a refund,We're happy to help. Take a look here:,billing_refund
I did and now my 6s plus s battery is draining way too fast.,We'd be happy to help. DM us & tell us more about the battery life of your iPhone. We'll be glad to continue there.,battery_issue
Yes. This didn t start until after I did the most recent update. I have to restart my phone to get it charging properly.,"We'd like to review additional support options, please join us in DM to continue.",charging_issue
"Upgrading to ios 11 made my iPhone 6 WAY less usable: lock screen bugs, slower apps, battery. Gosh. iPhone X pre-order is tempting.",We would like to help with your iPhone. Please send us a DM so we can assist,battery_issue
why is the ? With a box surrounding it keep auto correcting on my new iPhone?,Here s what you can do to work around the issue until it s fixed in a future software update:,device_setup
"Friends in Australia, and any idea where I can buy a few of these (just the country specific adapter for a Macbook Air charger)","Reach out to our Apple Online Store team via the following link, and they can advise you on available options from there:",charging_issue
"So if I understand correctly, I go through Settings to disable wif/bluetooth UNTIL I turn them back on myself? Seems like a lot of extra steps for something that used to be so simple","That is correct, you can use the Settings app to turn off Wi-Fi and Bluetooth, as opposed to disconnecting via the Control Center. If you have a moment, we would greatly appreciate more details on your recommendations via our website:",device_setup
"Dear , I just updated to iOS 11.0. for my iTouch 4th gen. Now, I cannot retrieve photos/videos when plugged in my PC unlike before 11",We'd like to know more so we can provide the best path forward. Send us a DM and we'll take a look.,charging_issue
No i am not and i have updated to ios 11.0.3,Does it feel as if the button is broken or does it feel normal?,software_update
Why does my battery have no lifespan and my screen brightness keeps self adjusting with ios11?,We'd be happy to look into these issues with you and get your iPhone working as expected. DM us and we'll continue there.,battery_issue
why did my Apple Watch melt on the charger last night ? Do I get a free replacement ?,We want to look into this with you. Please DM us about this issue with your Apple Watch and we'll continue there.,charging_issue
yo wanna tell me why the fUCK my iphone keeps shutting off when it knows FULL WELL it s got at LEAST 10% battery left??,We know how important battery life is for you and your device. Let's work together to find a solution. DM us your experience.,battery_issue
"Baffled that my iPhone is telling me the accessory isn t supported , that accessory being the charger it came with","Let's get to the bottom of what's going on together. Are you using both the included cable, and wall plug? Did this just start today?",charging_issue
my icloud messed up and now i can t access any of the pictures on my phone thanks,"We'd like to look into this with you and get your photos back where they belong. If you go to from a desktop browser, are you photos showing here?",icloud_sync
I ve downloaded the suggested software update and my phone is still restarting sporadically,We d like to see how we can help. Can you DM us your current country?,software_update
Really hacked off iPhone alarm didn t go off all because the phone was open on apps page it seems the phone notifications freezes when iPhone is open and on app boxes all my notifications came after I exited the box,We want to be sure your iPhone is functioning as you'd expect it to. We'd like to look into this further with you. Send us a DM and we'll go from there.,account_security
"Could please stop killing the web-server every time one does an update of the OS? Or if you insist, display ""We broke it, sorry!"" #macos #apache",We'd be happy to look this over with you. Please meet us in DM so we may gather more information and better assist.,software_update
Battery drains fast with #iOS11 and new #iPhone8. #apple,Thanks for reaching out. DM the specific iOS version you're using so we can help.,battery_issue
I m having an issue with the activation server on my iPhone X dealing with a security lockout with Sprint. Any help? Thanks!,"We'd like to work on this with you. To clarify, are you getting an error regarding a Sprint SIM card? Let us know in DM.",account_security
can y all stop charging me for MLBTV for crying out loud the games are on local TV. Playoffs been on all month why charge me?,"Thanks for reaching out. To clarify, is this a monthly subscription charge, or are you being charged for specific games?",charging_issue
purchased my 5SE in March and already having issues with the new updates! #refund #buyback #freeupgrade #notcoolapple,"We want to help. Reach out to us via DM and let us know in detail what is occurring, then we can work together on this.",billing_refund
presume this is a scam given that I don t pay in $ and the email it came from is __email__,Likely a phishing attempt. You can find out how to react to those here:,account_security
"Every time I update my iOS I hope that will have fixed its extremly buggy touch ID, but nope",We're happy to look into issue you're having with Touch ID. DM us details of what's going on with it and we'll get started.,software_update
Holding Touch ID shouldn t submit payment. You can accidentally submit since Touch ID is also Home. It should just enable it and show a confirm button.,"We appreciate you reaching out. So we can discuss this further, feel free to send us a DM and we'll go from there.",billing_refund
how do I reset my Apple ID password?,We'd love to help. Take a look at the steps here:,apple_id_login
", The only update I wanna see is the one that is going to give me a better battery life and not issues w/ hidden photos. #Seriously",Thank you for expressing your concern. Our goal is to help you get your device up and running. Please DM us to get started.,battery_issue
"If I delete a photo from my iPhone, will it also be deleted from iCloud?","If you have Photos enabled in the iCloud settings of that device, then yes it will be deleted from iCloud too.",icloud_sync
Apple Music is not letting me switch to the student subscription after I verified my student account 2 months ago! I ve been charged $9.99,Got it. We'd like to investigate this. Send us a DM and we'll take a closer look.,billing_refund
this new IOS 11.3 is like shit. The battery is not charging until it comes 1%,We're here for you. Are you using an Apple certified charger? When did this behavior start happening?,charging_issue
What does this mean? Trying to sign in to Apple Music. Help :/,Let's see what's going on. Send us a DM and let us know how you got to this screen.,apple_id_login
"i've just logged in to appleID in browser to prove my password is correct. Now trying to reset phone, stupid phone won't let me and says my ID password is incorrect. These devices are SSSOOOO FAR from smart it's absurd.","Let us help. Send us a Direct Message, we'll look into this together there.",apple_id_login
"Seriously , what the fuck with turning Bluetooth on every time I restart my phone? #iOS11 #hate #morereboots",Let's get to the bottom of this together. Are you toggling Bluetooth on and off from Control Center or from Settings?,device_setup
"What s wrong with iTunes? Every time I try to sync my phone it wants me to restore, when it s already restored!!!!!!!!!!",Let's see how we can help. Is this the only computer you connect your iPhone to? What is the exact message you receive?,icloud_sync
Why is my iPhone X s screen still freezing? I thought the last update was supposed to fix it??,We'd love to help look into this and get you back in action. Can you send us a DM with some additional details?,software_update
"Hello! I have enabled Desktop and Documents sync to iCloud on my Mac, and even though I have 45GB left in iCloud storage, my Mac says its full and doesn t sync properly. What can I do to resolve this issue? Thank you!","We're here for you. Storage in iCloud and on your device can get confusing at times. When you receive this error, what does it say exactly? We're asking to see if the error is for lack of iCloud storage or Mac storage.",icloud_sync
"It happens with both the music app (actually worse on the music app) and spotify, I'm sure it happens to all music. I have an iPhone 8 on iOS 11.1.1",Does this only happen while scrolling through Twitter? Are you connected to Wi-Fi or cellular data when this happens?,software_update
I can t update my payment. I need to update my apps. Is there ANY way I can do so???,Let's work on this payment issue together. What happens when you try updating your payment method? Is there an error message?,billing_refund
I am not able to login to App Store. Attached is the screenshots of error message for your reference.,We know how important the App Store is for updating and downloading apps. Try this:,apple_id_login
Tryna figure out why I cancelled my Apple Music subscription last month and still got charged for it and CANT even listen to it!,"Let's get you pointed in the right direction, for support with purchases and refunds, reach out here:",billing_refund
ios 11 update killed my battery and battery life was the main reason for changing to apple. Really disappointed in apple,We want to make sure your battery life is as good as can be. Take a look at this article for help.,battery_issue
I ve just got a new iPhone 8+ but I can t get it to pair with my 1st gen Apple Watch. Help?,We'll gladly assist. What happens when you try to pair. Are you getting an error message?,device_setup
"my phone is broken and i need to log into my iCloud, but it says I need to verify on my phone, WHICH IS BROKEN. what do?",We understand. We have a system in place for this exact issue. This article walks you through it:,icloud_sync
I m going to mention everyday until they fix this I glitch. Either update the system or recall all new devices cause this is ugly.,"We'd like to get some details about this. Meet us in DM, tell us the exact version of iOS you're using, and we'll take a look.",software_update
"The Appstore freezes especially the ""updates"" tab rest all will be working fine. And the apps that were in the update list change the icon as though they are updating. But they won't.",Have you been able to test on multiple Wi-Fi networks to determine if the issue is specific to the network?,app_store
"How do I get to the Chat support for Apple Support? I need to leave a feedback for an app, but it's now impossible to do now that the App Store is no longer part of iTunes. Without this feature, some flawed games may go away unscathed.",We're happy to help you with this. Let's meet up in DM and work together.,app_store
Apple support wait time is ridiculous..... they charged me two times for my Apple Music subscription smfh answer your phones,We want to help. Use this link to get over to our iTunes Store support team. They'll be able to look into this further with you. Just use this link to get to them:,billing_refund
"Okay . My new iPhone X had no iMesage bugs, & I breathed a sigh of relief. But some time later? It s back. I . See? FIX THIS.",We're excited for your new iPhone X. Check out our article here: DM us any other questions.,device_setup
"i cant access my iphone 7 plus because of this activation lock, helpppp","Hi there. We received your DM, and we'll follow up there shortly to see how we can help.",account_security
", I continue to get the message of not being able to communicate with the server due to an error. I have multiple Game Center accounts that I use to sign in and out of my clash of clans accounts. Is there a way to resolve this issue quickly?",Great question! We'll do our best to resolve this as quickly as possible. Send us a DM with your device model and iOS version from Settings > General > About to get started.,apple_id_login
Hey how do I my Settings configurations an app from my old phone that s saved on the iCloud ?,We can understand wanting to access your data. Let us know which app you're trying to access data from in DM to proceed.,icloud_sync
It does not. I had it charging all night and woke up and it just wont turn on or even charge,"While the iPhone is plugged in, force restart it with these steps here:",charging_issue
"Dear gentlemen, I have more than 4000 pics in clouds, I downloaded iCloud in my Windows 10 PC, I want all my pics download on my PC,however only ten plus pics downloaded, the others remaining on the clouds, none of your engineers in Shanghai can sovle this problem for me.","That is certainly not the experience that we wanted you to have, and we are going to do everything we can to help you. For help with your Photos, please contact our Application Support team here:",icloud_sync
Data breach on my Apple ID today. Not sure are taking it seriously enough. More angered that my pre-order was deleted also!,We'd like to see how we can help. Send us a DM with additional details and we'll go from there.,account_security
iOS 11 has proper fucked my phone up you know you are very tricky people. Endless problems ever since the update,We'd be happy to help. Can you tell us exactly what you're experiencing? DM us.,software_update
"Are you serious, ? Installed iOS 11.0.3 last night. With 15% battery and airplane mode on my 7 plus was dead in the morning",We'd like to look into what's happening together. Please send us a DM and we can get started.,battery_issue
the iOS 11 update seems to be causing both me and my husband to not get all our texts.,That's not the experience we want you to have. We want to help. Send us a DM letting us know if you are updated to iOS 11.0.3.,software_update
My waif followed the required steps to set up face ID and it is working fine with her but what is wrong with her sister ? Why it is accepting her face and she can unlock it all the time she tried !? That is unacceptable at all !,Let's take a closer look. Please send us a DM.,device_setup
"iOS 11.0.3 ip7+ empty locked screen, blk font status bar, apps crashing, black screens, buggy top tap and back btns ? U ok?",We'd like to look into this with you. Send us a DM by clicking on the link below. We'll go from there.,app_store
"OMFG #icloud is terrible not only does it not work, but when it does you have to upload to it then wait for it to download then 1/2","Thanks for reaching out, we d be happy to help! Let us know more about the issues you're experiencing in DM to proceed.",icloud_sync
I tried to refund it but it says item not available for refund,You may need to connect directly with our iTunes team to take a detailed look. Please reach out to our iTunes team using the link provided prior.,billing_refund
There is a glitch with the update. When i type i it creates the question mark with the box.,Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,software_update
"How do i delete ""ghost"" albums on my iCloud?albums are empty and deleted on my device but still appearing on my iCloud","We'd love to help with this. To clarify, you're talking about photo albums, correct?",icloud_sync
iPhone 7 and the one before the new update.,What percent is your battery at when your iPhone powers off unexpectedly? Please let us know in DM.,software_update
"Hi , my brand new iPhone burned me, but guess what, I ll get help only after it explodes and I lose my fingers. Thanks :)","Definitely not what we want you to experience. Please DM us & let us know all about it, including which iPhone model you're using.",device_setup
Hi! One question: Apple Watch Series 3 doesn't work with iOS 10.3.3? I have an iPhone 5 and it works really good! ;),Great question! The Apple Watch Series 3 requires your iPhone to be updated to the newest iOS.,software_update
"is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,apple_id_login
Disappointed w . Spent $700 on a new iPhone on #Blackfriday to get a $50 Apple gift card and now they won t give it to me.,"That's definitely not the experience we want for you. Can you send us a Direct Message and tell us more about what's going on, please? We'll pick it up from there and we'll see what can be done.",device_setup
I m having issues connecting with iCloud services when connected to VPN. Does iCloud block VPN access?,"Thank you for taking the time to reach out to us. In DM, please let us know the device you're using to access iCloud.",icloud_sync
"No, no, no. I need a macos Sierra, my mac, my choise... Mac OS High Sierra working terribble...",We'd be happy to look into any issues you're experiencing. Please message us in DM to continue.,software_update
It stays for about 6-7 hrs... but I read in a blog about disabling assistive touch and the battery life is much better,We're glad to hear that battery life is better for you now. Let us know if we can be of any help in the future.,battery_issue
No backup at all. is it not synced to iCloud like my contacts and mail?,Do you still have your previous iPhone?,icloud_sync
...is this a known email scam? Please advise #netflixscam #applescam #emailscam,We're glad you reached out. This article can help you identify and report phishing emails:,account_security
"my son has activation locked his phone, I m sick of being on to support and getting no way to fix this,any advice on what I can do",We're happy to look into your options. Please meet us in DM and we'll gather a few pieces of information to determine the best options to have this sorted out.,device_setup
Can't u shut down scams like appleassist(dot)me? Got a robocall that directed me to an offshore agent trying to get my iCloud.,Thank you for bringing this to our attention. The best way to avoid scams is to use this article here:,icloud_sync
Literally have used my phone for a total of about 5 minutes since I took it off the charger at 6:30 am and it s already at 45%. Wtf,Hi there. Reliable battery life is essential. Glad you reached out. DM us which iPhone and iOS version you re using. We ll do all we can to help there.,charging_issue
. How do we fix the message Could not invite <email address> because the Apple ID is not registered with iCloud? #HomeKit,"Let's figure this out. Are you trying to share control of accessories? Check out this link, under 'Share control of your accessories' and let us know if these are the steps you're following:",apple_id_login
thanks I have updated to latest iOS 11.0.3.I am charging my iphone6s 100% will let u knw about batterylife,Sounds like a plan. We look forward to hearing the results.,charging_issue
"interesting how you released iOS11 weeks before your new iPhone line released and how this update severely slowed down my current iPhone, isn t it?","We know how important it is to have your iPhone performing its best. We re happy to help look into what s happening. Please send us a DM telling us which iPhone you have, the iOS version number it s running, and with which apps you see the change in performance.",device_setup
Pq eu n to conseguindo reinstalar apps da App Store???? #AppStore,"Since our Twitter support is available in English, get help at or join",app_store
"amazed at design that goes into unpacking and setting up your new iPhone until the auto connect to old phone didn't work and the iOS update won't verify. Nice work , top software as always...",We want to make sure your experience with your new iPhone goes well. What's happening when you try to use the automatic setup on your iPhone and when you update it?,device_setup
This high sierra update has ruined my Mac. Fix this garbage,"Thanks for reaching out! We never want people to experience issues with their devices after updating, but we're here to help. Let us know the issues you're having and we'll take look.",software_update
a ma a esqueceu das correc es dos bugs do ios 11.1? / Has apple forgotten about fixes for iOS 11.1 bugs? (Beta program),iOS beta comes with a built-in Feedback Assistant the second page of the Home screen on your device.,software_update
I keep receiving unsolicited calls from the Apple Store claiming my iCloud has been hacked,We re here to address the issues you're experiencing. Let's team up in Direct Message using the link below to continue.,account_security
HOW TF MY IPHONE CHARGER THAT CAME OUT THE MF BOX CANT BE SUPPORTED,"We're here to help. To start, let's give the steps here a try: DM us back any questions.",charging_issue
"hello. Every since updating my I Phone to the latest IOS, my battery life has been absolutely horrendous","We want to help you with your iPhone's battery life. DM us, and we'll look into this.",battery_issue
why can't I backup my iPhone after I deleted files and the trash. It won't even allow me to backup on iCloud,"We've received your DM, and will continue working from there. Be on the lookout for our response.",icloud_sync
Fix the problem with the app store,Please tell us what issue you're having with the App Store? We'd like to help.,app_store
Using the computer version of ITunes how do you leave a review without an Apple ID?,"Thanks for reaching out, we want to help. For reviews on the iTunes Store, you need to have an Apple ID to leave one.",apple_id_login
my downloaded shows aren t showing on my tv anymore since the iOS 11 update!! Help!!!! I use the HDMI to lightning adapter by the way. HELP!,Let's see how we can help. Which device are you having trouble with? Are you able to use the Netflix app on your iOS device?,charging_issue
hello my Mum has been hacked can someone message me please? Thanks,We want to help. DM us more details here:,account_security
I phone 7 phone has died multiple times while on the charger,Thanks for reaching out. Try the following steps: DM us if you still need help from here.,charging_issue
"Please fix iOS11 for 6s, it s completely destroyed the phone. Bluetooth on and off, apps just grey out and phone now freezes!! I promise I ll update next year, I just need a working phone now.",We want your iPhone to perform optimally for you. We're here to help. Please meet us in DM and we'll take a further look at this together.,device_setup
Hello I don t know why the IOS 11 seems to be less reliable than the previous version. FaceTime crash / IOS Frozen etc...,We'd like to help. DM us which iOS 11 you are on.,software_update
. IOS update 11.0.3 and my battery life still drains fast. Never had problems until these faulty updates,Thanks for reaching out. DM which iOS device you are using to get started.,battery_issue
"really not happy with my phone freezing every single time it s connected to my charger, why","We re here to help. To start, are you using an Apple charger or a third-party charger? Also, which iOS is on the iPhone?",charging_issue
"I just got the biggest fright of my life. This charger had been on for under 10 minutes, had heated up very quickly, and actually started to turn grey as you can see. Hate to think what would have happened if we left it any longer","We'd be happy to be of assistance. We got your DM, and we'll be following up with you there. Thanks!",charging_issue
hi! Wish to ask how to get my itunes files to my new iphone without deleting? I made a mistake and it was gone,"We can help! To clarify, are you referring to syncing audio files to your new iPhone, or different types of files?",device_setup
"Iphone 7 dies before lunch in battery saver mode, and now this. I can t type, guys. Please help.",We'd be happy to help with your battery life and keyboard. Have you installed the iOS 11.1 update? Please DM us:,battery_issue
"Updated iOS 11.1, won't let me remove Apps from a folder","We'd like to help. Go ahead and meet us in DM telling us more details, and what kind of device you are using so we can start.",software_update
"What happened was I spent a little over an hour but everything is sync'ed. Had to do the old school way, manual via iTunes, & upgrade iOS on new phone first.",Could you please DM us with what exactly you were seeing when attempting to move your data so we can look into this?,icloud_sync
I plugged my phone into the charger and the battery percentage went down. wyd,"We want to help. To get started, what iOS version is currently installed on your device? To find out, navigate to: Settings > General > About. Has your device ever experienced this behavior previously?",charging_issue
what happen with app store? its not working,We ll help. The App Store is available on our System Status page: What happens when you connect?,app_store
"Thanks. Has crashed 3 times in 2 days. Photos app completely freezes and crashes when doing even basic edits. Photos don t sync correctly with iOS devices. Strange things in mail (no view as icon ) and more. Going to Genius Bar today. OSX not ready, upgraded too early.","We appreciate you providing those details. For the best assistance with your Photos app, we recommend reaching out to our Advisors here: They will be able to assist you further, and likely without having to visit our Genius Bar.",icloud_sync
"Only just did the IOS 11 update. Wow thanks , my phone has never been so slow","We'd be happy to take a look! To start, what device are we working with today? Does this occur with all apps or particular ones?",software_update
"Hello, I bought an iPhone 5 recently and the old owner had his iCloud account logged in now i cant upgrade my ios version",We've responded to your DM. Please join us there.,icloud_sync
"Okay I will update my phone, thanks for the advice. My main issue is my battery life though. It dies really quickly. I can t go an hour without having to charge it while using it","No worries we will cover this with you. Once you update the iOS, allow the iPhone to update the applications installed from the App Store. You may want to keep the device connected to Wi-Fi and at rest.",battery_issue
recent software update iOS 11.0.3 is really horrible.slow performance phone getting hanged several applications are malfunctioning,We'd love to look into this with you. Send us a DM with the device you're using & we'll take it from there.,software_update
Do Not Disturb While Driving doesn t recognize my car Bluetooth as a vehicle. Anything I can do to change that?,We'd like to help. Does your car and iPhone pair without issue? DM us details and we'll continue there.,device_setup
are these crashes me or you? #itsnotyouitsme 11.2 update and brand new #iPhonex,We'd like to help. Which device are you using? Can you tell us more about the issue you're experiencing?,software_update
OK. Its not working at all.. Just tried on iOS and on a windows PC.. Still going back to the login prompt.. Can you comment please?,"We're here to help. To see the current system status of our Bug Reporter, you can click here:",apple_id_login
